POINT_X,POINT_Y,SLOPE,TWI,ASPECT,ECA_SHALLOW,NDVI,CWSI
209793.6633,626359.4339,5.667,6.6878,266,16.2701,0.4473,NA
209850.4964,626359.3005,6.1188,5.9733,221,21.5882,0.3771,1.1745
209837.6697,626359.356,5.6816,6.1361,221,22.5709,0.5157,NA
209863.1423,626359.253,6.0349,5.7476,231,23.074,0.4762,1.7543
209856.73,626359.1762,6.4877,5.8866,225,22.3719,0.4504,1.3394
209812.8692,626359.2362,4.9712,6.6759,238,37.9504,0.4209,1.0887
209806.4922,626359.2876,5.0838,6.6424,241,32.354,0.331,NA
209800.5111,626359.1178,4.7757,6.8069,241,23.757,0.3911,NA
209787.8563,626359.1608,5.5361,7.0729,278,15.4604,0.4109,1.1517
209781.5246,626359.2226,5.4131,7.2813,281,16.9724,0.327,0.8078
209768.9842,626359.1651,4.2634,7.6378,284,26.4512,0.4302,1.0471
209762.4599,626359.2686,3.9271,7.514,286,34.7901,0.479,0.5872
209756.7121,626359.0003,3.8927,7.1308,283,37.7309,0.5287,NA
209750.6087,626358.9137,4.2006,7.4612,291,32.6721,0.4203,0.8354
209743.7014,626359.2363,5.1509,8.7119,295,25.3034,0.4345,1.4213
209737.8742,626358.9861,5.1626,9.6374,297,22.7813,0.5219,0.9518
209864.5099,626358.5106,5.9685,5.6893,231,23.1069,0.4886,2.1542
209858.082,626358.44240000006,6.7002,5.8696,227,22.6205,0.3877,1.1972
209851.8569,626358.5618,6.2157,5.9941,222,21.6602,0.3085,NA
209839.0441,626358.6097,5.5321,6.2196,222,21.978,0.4362,1.6317
209832.5869,626358.7809,5.1829,6.2629,222,23.4893,0.4271,1.4751
209826.6918,626358.5496,4.6673,6.3827,225,26.8551,0.3698,1.374
209814.2143,626358.506,4.931,6.6648,240,37.8527,0.373,NA
209807.865,626358.5425,5.1822,6.6367,241,34.9944,0.4602,0.4055
209801.8336,626358.4,4.7539,6.9395,240,26.8529,0.3828,0.9465
209795.0235,626358.6955,5.3791,6.8367000000000004,265,17.6117,0.3999,0.9221
209789.2166,626358.4224,5.7058,7.0057,277,15.745,0.5198,0.6534
209782.8719,626358.4911,5.5159,7.2507,278,16.5799,0.4666,0.4531
209776.2546,626358.6537,4.5879,7.4322,283,19.0828,0.5242,0.2285
209770.3112,626358.4448,4.2984,7.4898,283,24.7053,0.3253,0.8339
209763.7856,626358.5488,3.889,7.3698,287,33.7971,0.4595,0.8365
209745.0351,626358.5123,5.2741,8.7555,294,26.5876,0.4012,NA
209739.2129,626358.2593,5.0207,9.7065,297,23.3634,0.5088,1.0499
209865.8774,626357.7681,6.1858,5.6191,229,23.2143,0.4327,NA
209859.4338,626357.7082,7.0132,5.6322,228,22.8797,0.5173,0.839
209853.2173,626357.8233,6.3568,5.9548,223,21.8372,0.307,NA
209848.0336,626357.3278,6.2215,5.995,222,20.9129,0.3447,0.946
209846.713,626358.0446,6.2734,5.9341,222,21.0212,0.3736,NA
209840.4185,626357.8636,5.517,6.1451,224,21.4205,0.4609,0.6794
209833.948,626358.0419,5.2104,6.2407,222,22.9252,0.493,NA
209822.8396,626357.3444,4.4613,6.2834,228,30.4431,0.5254,NA
209821.485,626358.0799,4.6825,6.2708,238,32.1019,0.4087,NA
209815.5595,626357.7756,5.0698,6.4298,242,37.7771,0.4255,NA
209809.238,626357.797,5.0953,6.6261,239,37.2257,0.4034,0.6045
209803.156,626357.6821,4.6638,6.9596,242,30.1938,0.4632,NA
209796.3835,626357.9572,4.7999,6.808,263,19.509,0.4275,0.4967
209790.5768,626357.6839,5.7364,6.9507,277,16.1904,0.5309,0.4864
209784.2192,626357.7598,5.3131,7.2125,278,16.184,0.6087,0.3536
209777.5965,626357.9252,4.7992,7.4079,284,18.7295,0.4383,NA
209771.638,626357.7244,4.2422,7.4082,283,23.0826,0.3555,NA
209765.1113,626357.8291,3.9105,7.4352,286,32.2519,0.5743,0.4599
209759.3926,626357.5452,3.9105,7.0327,280,39.4226,0.4436,NA
209753.2452,626357.4824,3.9089,7.729,286,37.693,0.4464,0.9861
209751.927,626358.198,3.8396,7.5949,289,35.6815,0.5163,NA
209746.3686,626357.7883,5.1534,8.5719,294,28.2901,0.3872,NA
209740.5516,626357.5326,4.9705,9.6941,297,24.4876,0.4841,NA
209734.7452,626357.2712,4.9057,10.3467,297,22.5358,0.5261,NA
209797.7433,626357.219,4.2199,7.0414,255,21.9803,0.3969,NA
209778.9382,626357.1968,4.9753,7.3308,284,18.0491,0.4986,0.5287
209867.2451,626357.0256,6.4919,5.594,227,23.2821,0.225,NA
209862.138,626356.2403,7.3244,5.5153,225,23.1968,0.5235,0.8323
209860.7858,626356.9743,7.2449,5.5602,227,23.0511,0.4717,0.95
209855.9384,626356.3461,6.6182,5.9259,222,22.2556,0.3539,NA
209854.5778,626357.0846,6.418,5.9529,223,21.9435,0.3752,0.7632
209849.3543,626356.6107,6.1489,6.0337,221,20.9536,0.2711,NA
209843.1675,626356.3714,5.5655,6.1047,222,20.5546,0.4557,0.859
209841.793,626357.1175,5.4764,6.1024,223,20.9241,0.4054,NA
209836.6703,626356.5641,5.3,6.2823,224,21.4022,0.4326,NA
209830.7417,626356.3512,4.8307,6.3492,221,23.597,0.3034,NA
209824.1942,626356.6092,4.4067,6.3737,225,29.5514,0.5159,0.58
209818.2498,626356.3152,4.8279,6.1942,242,35.9223,0.4101,NA
209816.9047,626357.0455,5.0907,6.3429,244,37.11,0.4115,NA
209805.8007,626356.2463,4.6041,6.8809,245,34.6863,0.4933,NA
209804.4783,626356.9642,4.6698,6.8368,244,33.5673,0.4689,0.3682
209799.1035,626356.4807,4.2307,7.2512,251,24.9937,0.2536,NA
209793.2971,626356.2071,5.0003,6.9688,277,18.6471,0.658,NA
209791.937,626356.9456,5.481,6.9591,277,17.1448,0.5316,NA
209786.9138,626356.297,5.446,7.0503,279,16.1658,0.4903,0.6848
209780.28,626356.4684,5.1202,7.2617,284,17.5173,0.4036,1.3535
209774.292,626356.2837,4.6242,7.2769,283,20.9837,0.3899,NA
209772.965,626357.0041,4.2591,7.4191,282,22.2826,0.4431,NA
209766.4371,626357.1093,4.0529,7.3275,285,30.3534,0.5476,0.6994
209760.7329,626356.8175,4.0416,7.0317,280,39.0963,0.4911,0.8536
209754.5635,626356.7667,3.8481,7.6074,284,40.0728,0.4258,1.3485
209749.0359,626356.3404,4.1046,8.8238,294,34.3458,0.4886,NA
209747.7023,626357.0644,4.8,8.5703,294,31.1725,0.4674,NA
209741.8903,626356.8059,5.0324,9.5385,297,25.5956,0.5401,0.6285
209736.0912,626356.5405,5.0524,10.3788,297,22.9395,0.507,NA
209762.073,626356.0899,4.1249,6.9316,279,37.9795,0.4701,NA
209857.2988,626355.6074,6.7813,5.8669,223,22.6064,0.4162,NA
209850.6749,626355.8941,6.2137,6.0246,221,20.9685,0.2961,NA
209844.5419,626355.6252,5.7299,6.1321,222,20.2203,0.4488,0.9487
209838.0314,626355.8252,5.3013,6.2859,224,20.7343,0.4132,0.6498
209832.0915,626355.6182,4.9299,6.4438,221,22.4986,0.4155,2.3351
209825.5486,626355.8738,4.3905,6.4321,223,27.7434,0.49,NA
209819.595,626355.5849,4.722,6.1168,240,35.2745,0.4347,NA
209788.2611,626355.5655,5.4595,7.0703,278,16.4952,0.4299,NA
209781.6217,626355.74,5.1906,7.1719,284,17.1411,0.3952,NA
209769.0887,626355.6701,4.222,7.0348,284,27.3802,0.3674,NA
209755.8818,626356.0511,3.7156,7.4078,279,41.7204,0.5261,NA
209750.3695,626355.6164,3.8715,9.0326,294,37.5299,0.4441,NA
209743.229,626356.0791,5.2334,9.6045,297,27.7331,0.5011,NA
209737.4373,626355.8097,5.1414,10.2477,297,23.7846,0.5591,NA
209863.49,626355.5063,7.1278,5.538,224,23.385,0.4539,1.1045
209851.9956,626355.177,6.3904,6.0212,221,21.2479,0.36870000000000003,1.7341
209839.3925,626355.0863,5.3603,6.1942,223,20.2432,0.4976,NA
209826.9031,626355.1385,4.4588,6.4267,222,25.9854,0.4791,NA
209807.123,626355.5284,4.6878,6.9611,244,37.6566,0.4656,NA
209794.6574,626355.4687,4.1986,7.2503,271,19.9794,0.5266,0.3633
209763.4133,626355.3624,4.0004,6.9676,278,36.2412,0.4267,NA
209757.2,626355.3354,3.7432,7.5753,281,42.4849,0.4814,NA
209744.5677,626355.3524,5.0767,9.5408,297,30.4262,0.5142,0.6426
209738.7835,626355.0789,4.9835,10.3661,298,24.6552,0.4739,1.0054
209864.8421,626354.7723,7.1242,5.4884,223,23.5202,0.4172,NA
209860.0201,626354.1303,7.4492,5.615,224,23.299,0.3751,NA
209858.6594,626354.869,6.9826,5.6722,223,22.9644,0.4311,NA
209853.3161,626354.4602,6.486,6.0281,221,21.6447,0.4031,0.8357
209847.2907,626354.1329,5.9588,6.1268,221,20.0176,0.4759,0.8124
209845.9163,626354.8791,5.8002,6.116,221,20.0336,0.4927,0.6737
209840.7536,626354.3474,5.3777,6.1442,222,19.7063,0.3698,NA
209834.7914,626354.1526,5.1104,6.3713,223,20.8801,0.4775,NA
209833.4414,626354.8855,5.099,6.3696,223,21.5164,0.5601,NA
209828.2577,626354.4032,4.3972,6.4927,223,24.3392,0.5049,NA
209822.2855,626354.1244,4.3157,6.3275,225,31.4507,0.5382,0.3083
209820.9403,626354.8547,4.419,6.1566,230,33.471,0.4178,1.1633
209816.1026,626354.0703,4.8269,6.1963,247,39.4103,0.3532,NA
209809.7678,626354.0926,4.5495,6.893,247,41.8841,0.4523,0.4281
209808.4455,626354.8105,4.6072,6.9245,245,40.1074,0.3652,NA
209801.8235,626355.004,4.049,7.2922,252,30.8417,0.336,NA
209796.0176,626354.7302,3.701,7.5198,265,22.5631,0.4621,0.7408
209790.9558,626354.1027,5.4896,7.0219,276,18.4059,0.4851,NA
209789.6083,626354.8341,5.4652,7.0039,277,17.198,0.4684,NA
209784.3053,626354.2832,5.1906,7.1778,281,17.0503,0.5449,NA
209782.9635,626355.0115,5.2168,7.1782,283,17.0955,0.5157,0.4174
209778.2728,626354.1227,5.0217,6.9621,279,18.7503,0.4026,1.251
209776.9458,626354.843,4.9292,7.0334,282,19.4949,0.482,NA
209771.7402,626354.2306,4.0652,7.0215,280,23.6126,0.5604,NA
209770.4144,626354.9504,4.0866,7.1156,283,25.3932,0.5356,NA
209764.7536,626354.6347,3.9122,7.0173,279,35.3632,0.4083,0.9392
209758.5183,626354.6198,3.8163,7.4671,279,42.851,0.465,1.3084
209753.0367,626354.1685,3.4,8.9735,293,42.177,0.4455,1.2345
209751.7031,626354.8924,3.6,8.7933,295,39.6031,0.43,1.1454
209745.9064,626354.6256,4.9328,9.6825,296,33.5394,0.5148,0.6387
209740.1296,626354.3481,4.9711,10.4542,298,26.4005,0.4772,NA
209861.3806,626353.3917,7.5106,5.5998,224,23.5034,0.4127,NA
209855.9573,626353.0264,6.2699,5.964,223,22.403,0.482,NA
209854.6367,626353.7432,6.454,6.0142,222,21.8778,0.4571,0.9428
209848.6653,626353.3868,5.7852,6.1907,221,20.1846,0.3477,NA
209836.1413,626353.4199,5.0591,6.3544,223,20.0644,0.4331,NA
209829.6123,626353.6679,4.585,6.6219,222,22.8513,0.5617,0.5683
209823.6305,626353.3941,4.2352,6.5612,225,29.3393,0.4886,1.0213
209817.4757,626353.325,4.5129,6.0767,243,38.0271,0.4137,NA
209811.0903,626353.3748,4.6734,6.7192,250,42.9271,0.4757,NA
209804.5434,626353.5274,4.0743,7.2507,252,38.2232,0.268,NA
209798.7381,626353.2535,3.5018,7.6986,263,28.1861,0.3349,NA
209792.3031,626353.3714,5.0646,7.0654,273,20.2275,0.5254,0.2123
209785.6469,626353.5549,5.1744,7.2084,281,17.2995,0.49370000000000003,NA
209773.066,626353.5109,4.2124,7.0097,279,22.8837,0.5702,0.2196
209767.434,626353.1796,4.3199,6.9546,277,30.4276,0.4433,0.5511
209766.0938,626353.9072,4.0117,6.996,277,33.037,0.4161,0.8983
209761.1549,626353.1885,3.982,7.3472,279,40.3636,0.4667,1.3259
209759.8366,626353.9041,3.9906,7.3052,280,42.1733,0.4909,NA
209754.3704,626353.4445,3.3879,9.1083,294,44.0135,0.3361,1.4509
209748.5837,626353.1722,4.0741,9.6277,295,37.9417,0.5539,NA
209747.2451,626353.8989,4.3764,9.5659,295,36.8541,0.4861,0.7699
209741.4757,626353.6174,5.1842,10.4104,297,28.6992,0.5539,NA
209735.2823,626353.566,5.3216,9.9897,296,24.0901,0.4949,0.7461
209830.9668,626352.9325,4.4343,6.6187,223,22.0251,0.5003,NA
209742.8219,626352.8866,5.1889,10.3215,297,31.494,0.6073,NA
209864.1015,626351.9145,7.4746,5.4865,221,23.9381,0.2534,3.2489
209862.7409,626352.653,7.5643,5.5102,222,23.7621,0.4588,NA
209857.2778,626352.3094,6.0812,5.9436,223,22.941,0.4412,1.6664
209850.0396,626352.6407,6.0353,6.3547,221,20.2747,0.2683,2.5707
209844.9037,626352.0944,5.1172,6.4111,225,18.9367,0.4933,NA
209838.8411,626351.9541,5.0372,6.3599,224,18.7913,0.3956,NA
209837.4912,626352.687,5.2146,6.3826,223,19.3664,0.4828,1.1917
209832.3213,626352.1972,4.3036,6.6723,225,20.8009,0.5028,0.6114
209826.3209,626351.9336,3.9995,6.6716,226,26.1805,0.5833,0.707
209824.9757,626352.6638,4.1725,6.6515,225,27.2457,0.5264,0.9392
209813.735,626351.939,4.7255,6.2062,252,43.2794,0.5036,1.0144
209812.4126,626352.6568,4.7327,6.3049,251,43.4875,0.4564,NA
209807.2636,626352.0508,3.9948,7.0969,253,43.4399,0.3829,1.0024
209805.9035,626352.7891,3.9441,7.1955,254,40.5538,0.4512,NA
209800.0983,626352.5151,3.5335,7.5304,266,32.1545,0.32,NA
209794.9977,626351.9085,3.4964,7.5685,263,24.8174,0.5277,NA
209793.6502,626352.6398,3.8461,7.4001,267,21.8621,0.4716,NA
209788.3307,626352.098,5.283,7.1418,282,18.7113,0.4615,NA
209786.9889,626352.8263,5.196,7.2081,281,17.9353,0.5264,NA
209782.2536,626351.9616,5.3017,6.9943,280,17.9981,0.4745,0.6079
209780.9266,626352.682,5.1371,6.9628,278,17.9328,0.5468,NA
209775.7175,626352.0715,4.7643,6.9352,273,20.431,0.4962,0.3167
209774.3918,626352.7912,4.6115,6.9602,275,21.5105,0.5418,NA
209768.7743,626352.4521,4.2705,7.0396,275,28.1249,0.4372,NA
209762.4731,626352.4728,3.8769,7.38,278,39.6278,0.4772,0.9834
209757.0375,626351.9965,3.6426,8.6893,291,45.3528,0.3977,1.8348
209755.7039,626352.7205,3.4604,8.9691,292,44.9643,0.3938,2.1238
209749.9224,626352.4455,3.5609,9.8127,295,41.0754,0.556,NA
209744.1679,626352.1558,4.7912,10.441,298,33.5676,0.4335,NA
209738.0316,626352.0734,5.1312,10.2786,301,26.7534,0.4045,NA
209736.6569,626352.8198,5.2519,10.305,299,25.4857,0.4781,NA
209820.2213,626351.8344,4.0842,6.3658,229,35.2879,0.4632,0.7672
209852.7886,626351.1484,5.4907,6.3337,228,21.3119,0.3082,1.5835
209846.2649,626351.3556,4.8411,6.5444,228,18.8633,0.556,NA
209840.1911,626351.2213,4.7989,6.5294,229,18.392,0.4498,0.687
209833.6759,626351.4618,4.2249,6.7025,227,19.7638,0.4811,0.631
209827.6661,626351.2033,3.8578,6.835,228,24.2612,0.4953,NA
209821.5945,626351.0891,3.9681,6.6974,227,33.0251,0.5427,0.3285
209815.0573,626351.2211,4.4879,6.1231,250,43.2438,0.5247,0.2287
209808.6235,626351.3125,4.0233,6.8021,254,45.5968,0.3345,1.1547
209801.4584,626351.7766,3.5601,7.2775,264,36.2867,0.3764,NA
209796.3451,626351.1769,3.4158,7.586,265,28.4316,0.4499,NA
209789.6724,626351.3695,5.1584,7.0565,279,20.2245,0.5182,0.4578
209783.5805,626351.2413,5.3909,6.8549,281,18.1827,0.4018,NA
209777.0433,626351.3517,4.8584,6.9582,273,19.6481,0.5551,NA
209771.4547,626350.9969,3.9606,7.2958,275,25.1342,0.5173,0.4574
209770.1146,626351.7244,4.0812,7.2184,275,26.0141,0.5508,NA
209765.1097,626351.0415,4.0522,7.3817,278,34.9663,0.4979,1.2228
209763.7914,626351.7572,3.9718,7.4577,276,37.4367,0.5411,NA
209758.3712,626351.2726,3.5759,8.8119,292,44.8176,0.4227,1.357
209752.5997,626350.992,3.3598,9.7863,296,45.6716,0.4866,1.4307
209751.2611,626351.7187,3.4193,9.9999,296,43.7324,0.5025,1.0733
209739.4065,626351.3271,5.1003,10.3821,302,28.976,0.4435,NA
209859.9191,626350.8756,6.4741,5.8394,223,23.7497,0.1195,NA
209835.0303,626350.7264,4.3429,6.7732,228,18.9029,0.4465,NA
209847.6259,626350.6166,4.8471,6.7898,227,19.1123,0.5087,NA
209791.0142,626350.6412,4.6222,7.1546,274,22.395,0.5186,0.436
209778.3692,626350.6319,5.1876,6.8894,273,19.4632,0.5551,0.1022
209746.8602,626350.6943,4.1822,10.7173,297,40.0919,0.553,NA
209740.7811,626350.5808,5.1974,10.2506,301,31.6439,0.3725,NA
209854.163,626350.4022,5.384,6.2632,231,21.9854,0.3518,NA
209841.5409,626350.4885,4.4793,6.7789,232,18.0503,0.4565,0.8113
209829.0112,626350.4732,3.7398,6.9338,229,22.5444,0.47,0.7383
209816.3798,626350.5033,4.1035,6.1484,244,41.9911,0.4446,0.7211
209809.9835,626350.5742,4.0466,6.6486,256,46.943,0.4265,0.6972
209797.6924,626350.4457,3.4423,7.3411,268,32.5695,0.4746,NA
209759.7048,626350.5485,3.4999,8.7052,289,43.4854,0.4771,NA
209848.9871,626349.8778,4.6122,6.7698,232,19.5704,0.4194,1.1297
209842.8909,626349.7557,4.4363,6.9641,231,17.8876,0.4705,0.611
209830.3564,626349.7429,3.7426,6.9636,229,21.0617,0.4717,1.1052
209822.9673,626350.3437,4.0645,6.7991,228,30.6641,0.5092,0.5354
209817.7021,626349.7853,3.8314,6.4055,239,40.2266,0.5315,0.288
209804.1789,626350.2997,3.3741,7.2206,260,42.9408,0.405,0.6313
209792.356,626349.9128,4.0669,7.2738,269,25.285,0.551,0.1615
209786.2344,626349.8006,5.1031,6.8118,279,19.8233,0.4674,0.6032
209779.6948,626349.9122,5.5289,6.7,275,19.1648,0.5321,0.522
209772.795,626350.2693,4.1058,7.3729,276,23.4585,0.5243,0.4753
209766.428,626350.3259,4.02,7.3621,278,32.4189,0.4864,0.9751
209761.0384,626349.8246,3.5681,8.4177,286,41.5275,0.4418,1.7884
209753.9385,626350.2652,3.4215,9.8933,296,46.603,0.5406,0.8697
209748.2063,626349.9635,3.6659,10.6399,295,43.0667,0.517,0.3298
209742.1559,626349.8346,5.0688,10.3775,301,34.647,0.4691,0.9679
209799.0396,626349.7142,3.4486,7.2398,268,35.5849,0.5305,NA
